food_name,query,alternate_query_inbox,kroger_upc,product_grams,product_uri,product_local_price,product_categories,product_sold_by_unit
grape tomatoes,grape tomatoes,,1111091686.0,283.495,/p/kroger-fresh-grape-tomatoes/0001111091686?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.79,"Produce, Produce",10 oz
yellow onion,yellow onion,,1111091682.0,1360.776,/p/kroger-yellow-onions-in-3lb-bag/0001111091682?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.79,Produce,3 lb
long grain white rice,long grain white rice,,1111089875.0,907.184,/p/kroger-enriched-long-grain-white-rice/0001111089875?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.89,"Pasta, Sauces, Grain",32 oz
water,water,,1111042130.0,3785.41,/p/kroger-drinking-gallon-water/0001111042130?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.49,"Beverages, Beverages",1 gallon
fresh parsley,fresh parsley,,4899.0,60.0,/p/parsley/0000000004899?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,0.99,Produce,1 ct
lemon,lemon,,4053.0,58.0,/p/fresh-lemon-each/0000000004053?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,0.89,Produce,1 ct
bacon,bacon,,1111097210.0,680.388,/p/kroger-hardwood-smoked-thick-cut-sugar-cured-bacon/0001111097210?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,9.99,Meat & Seafood,24 oz
mayonnaise,mayonnaise,,1111001988.0,807.36,/p/kroger-real-mayo/0001111001988?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,Condiment & Sauces,30 fl oz
chipotle chili powder,chipotle chili powder,,,,,,,
brioche buns,brioche buns,,1111011457.0,680.388,/p/private-selection-brioche-buns-extra-large/0001111011457?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.79,Bakery,8 ct / 24 oz
eggs,eggs,,1111085724.0,3420.0,/p/kroger-large-white-eggs/0001111085724?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,19.95,"Breakfast, Dairy",60 ct
tomato,tomato,,4664.0,453.592,/p/fresh-on-the-vine-red-tomatoes-order-by-the-bunch-4-5-tomatoes-per-bunch-/0000000004664?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.19,"Produce, Produce",1 lb
lettuce,lettuce,,4061.0,539.0,/p/iceberg-lettuce/0000000004061?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.99,Produce,1 ct
black pepper,black pepper,,1111070023.0,510.291,/p/kroger-pure-ground-black-pepper/0001111070023?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,15.99,Baking Goods,18 oz
Roma tomatoes,Roma tomatoes,,4087.0,453.592,/p/fresh-roma-tomato/0000000004087?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.49,"Produce, Produce",1 lb
penne pasta,penne pasta,,1111085033.0,453.592,/p/kroger-penne-rigate-pasta/0001111085033?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.33,"Pasta, Sauces, Grain",16 oz
fresh basil,fresh basil,,85392700300.0,35.44,/p/gotham-greens-fresh-basil-herb/0085392700300?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,Produce,1.25 oz
butter,butter,,1111010080.0,907.184,/p/kroger-butter-sticks-big-deal-/0001111010080?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,8.29,Dairy,2 pk / 16 oz
hot sauce,hot sauce,,1111013788.0,354.882,/p/kroger-louisiana-style-hot-sauce/0001111013788?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.49,Condiment & Sauces,12 fl oz
smoked paprika,smoked paprika,,5210002276.0,49.61,/p/mccormick-smoked-paprika/0005210002276?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.79,Natural & Organic,1.75 oz
garlic powder,garlic powder,,1111070039.0,700.23,/p/kroger-garlic-powder/0001111070039?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,14.99,Baking Goods,24.7 oz
tempeh,tempeh,,4345403050.0,226.796,/p/lightlife-original-organic-plant-based-tempeh/0004345403050?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,Natural & Organic,8 oz
coleslaw mix,coleslaw mix,,,,,,,
hoagie rolls,hoagie rolls,,1111011514.0,411.06775,/p/kroger-white-hoagie-rolls/0001111011514?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.19,Bakery,6 ct / 14.5 oz
avocado,avocado,,4046.0,150.0,/p/medium-ripe-avocado/0000000004046?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.25,Produce,1 ct
ground pork,ground pork,,5161300362.0,453.592,/p/ground-pork/0005161300362?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.49,Meat & Seafood,1 lb
sugar,sugar,,1111011890.0,11339.8,/p/smart-way-granulated-sugar/0001111011890?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,16.99,Baking Goods,25 lb
large egg,large egg,,1111085724.0,3402.0,/p/kroger-large-white-eggs/0001111085724?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,19.95,"Breakfast, Dairy",60 ct
heavy whipping cream,heavy whipping cream,,1111050312.0,909.45,/p/kroger-heavy-whipping-cream/0001111050312?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.79,Dairy,1 qt
blueberries,blueberries,,3338322101.0,340.0,/p/fresh-blueberries/0003338322101?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,Produce,1 pt
vanilla extract,vanilla extract,,1111009984.0,449.5172,/p/private-selection-pure-vanilla-extract/0001111009984?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,23.99,Baking Goods,16 fl oz
lemon curd,lemon curd,,8870284567.0,360.03865,/p/bonne-maman-lemon-curd/0008870284567?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,9.49,Baking Goods,12.7 oz
celery,celery,,4070.0,453.592,/p/celery/0000000004070?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.69,Produce,1 lb
carrot,carrot,,4562.0,453.592,/p/carrots/0000000004562?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.29,Produce,1 lb
ground beef,ground beef,,1111097972.0,1360.776,/p/kroger-ground-beef-80-20/0001111097972?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,16.99,Meat & Seafood,3 lb
wine,wine,,8312084207.0,750.0,/p/bay-bridge-chardonnay-white-wine/0008312084207?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.88,"Adult Beverage, Adult Beverage, Adult Beverage, Adult Beverage, Adult Beverage",750 ml
crushed tomatoes,crushed tomatoes,,1111081548.0,793.786,/p/kroger-crushed-peeled-tomatoes/0001111081548?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.89,Canned & Packaged,28 oz
grated Parmesan,grated Parmesan,,1111058033.0,226.796,/p/kroger-100-parmesan-grated-cheese/0001111058033?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.39,"Dairy, Pasta, Sauces, Grain",8 oz
crushed red pepper,crushed red pepper,,1111000320.0,120.48,/p/kroger-crushed-red-pepper/0001111000320?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,Baking Goods,4.25 oz
red cabbage,red cabbage,,4554.0,453.592,/p/red-cabbage/0000000004554?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.29,Produce,1 lb
granny smith apple,granny smith apple,,1111003409.0,2267.96,/p/kroger-granny-smith-apples-big-deal-5-pound-bag/0001111003409?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.99,Produce,bag/ 5 pounds
Roma tomato,Roma tomato,,4087.0,453.592,/p/fresh-roma-tomato/0000000004087?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.49,"Produce, Produce",1 lb
jalapeño,jalapeño,,4693.0,453.592,/p/fresh-jalapeno-peppers/0000000004693?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.79,"Produce, International",1 lb
black beans,black beans,,1111012115.0,439.41725,/p/kroger-black-beans/0001111012115?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,0.89,Canned & Packaged,15.5 oz
cheddar cheese,cheddar cheese,,1111058732.0,453.592,/p/kroger-medium-cheddar-block-cheese/0001111058732?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.29,Dairy,16 oz
large eggs,large eggs,,1111085503.0,900.0,/p/kroger-grade-aa-large-white-eggs/0001111085503?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.99,"Breakfast, Dairy",18 ct
tortilla chips,tortilla chips,,1111008657.0,510.291,/p/kroger-white-corn-restaurant-style-tortilla-chips-family-size/0001111008657?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.69,Snacks,18 oz
pizza dough,pizza dough,,84013430888.0,453.592,/p/home-chef-pizza-dough/0084013430888?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,"Frozen, Deli",16 oz
dry fettuccine,dry fettuccine,,2680000639.0,453.592,/p/american-beauty-fettuccine-pasta/0002680000639?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.69,"Pasta, Sauces, Grain",16 oz
nutmeg,nutmeg,,1111001055.0,52.4466,/p/kroger-ground-nutmeg/0001111001055?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,Baking Goods,1.85 oz
tomato paste,tomato paste,,1111081636.0,340.194,/p/kroger-tomato-paste/0001111081636?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.49,Canned & Packaged,12 oz
red wine vinegar,red wine vinegar,,1111000508.0,375.58345,/p/kroger-red-wine-vinegar/0001111000508?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.79,Baking Goods,12.7 fl oz
olive oil,olive oil,,1111004392.0,2747.41,/p/kroger-extra-virgin-olive-oil/0001111004392?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,38.99,Baking Goods,101 fl oz
rotini pasta,rotini pasta,,1111085071.0,453.592,/p/kroger-salad-rotini-pasta/0001111085071?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.33,"Pasta, Sauces, Grain",16 oz
red onion,red onion,,1111062959.0,1360.776,/p/kroger-red-onions-in-3lb-bag/0001111062959?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.49,Produce,3 lb
sunflower seeds,sunflower seeds,,1111081935.0,205.53,/p/kroger-salted-dry-roasted-sunflower-kernels/0001111081935?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.19,Snacks,7.25 oz
feta,feta,,7027729000.0,340.194,/p/athenos-traditional-crumbled-feta-cheese/0007027729000?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,10.99,Deli,12 oz
Greek yogurt,Greek yogurt,,68954408301.0,907.184,/p/fage-total-plain-0-milkfat-nonfat-greek-yogurt-tub/0068954408301?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.49,Dairy,32 oz
frozen cut green beans,frozen cut green beans,,1111081914.0,907.184,/p/kroger-traditional-favorites-frozen-green-beans-cut/0001111081914?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.99,Frozen,32 oz
vegetable broth,vegetable broth,,1111004968.0,946.353,/p/kroger-fat-free-vegetable-broth/0001111004968?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.59,"Canned & Packaged, Canned & Packaged",32 oz
fried onions,fried onions,,1111082354.0,170.097,/p/kroger-crispy-french-fried-onions/0001111082354?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.29,Condiment & Sauces,6 oz
rubbed sage,rubbed sage,,1111068294.0,17.57,/p/kroger-rubbed-sage/0001111068294?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.29,Baking Goods,0.62 oz
dried thyme,dried thyme,,1111072059.0,39.12231,/p/kroger-ground-thyme/0001111072059?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,Baking Goods,1.38 oz
hummus,hummus,,1111062238.0,283.495,/p/kroger-original-hummus-10-oz/0001111062238?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,Deli,10 oz
sesame seeds,sesame seeds,,1111068394.0,60.1,/p/kroger-sesame-seed/0001111068394?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,Baking Goods,2.12 oz
sriracha sauce,sriracha sauce,,1111087588.0,481.9415,/p/kroger-sriracha-sauce/0001111087588?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.99,"International, Condiment & Sauces",17 oz
summer squash,summer squash,,4784.0,453.592,/p/squash-yellow/0000000004784?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.49,"Produce, Produce, Produce",1 lb
portabello mushroom,portabello mushroom,,1111091492.0,226.796,/p/whole-portobello-mushrooms/0001111091492?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.49,Produce,8 oz
roasted red peppers,roasted red peppers,,7321400104.0,453.592,/p/mezzetta-mild-roasted-red-bell-peppers/0007321400104?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.59,International,16 oz
cornmeal,cornmeal,,1111071419.0,680.388,/p/kroger-yellow-corn-meal/0001111071419?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.19,Baking Goods,24 oz
fresh spinach,fresh spinach,,4090.0,340.0,/p/spinach/0000000004090?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.79,Produce,1 ct
ground cumin,ground cumin,,1111068304.0,45.92619,/p/kroger-ground-cumin/0001111068304?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,Baking Goods,1.62 oz
garam masala,garam masala,,1111002370.0,55.0,/p/private-selection-garam-masala-blend/0001111002370?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,Baking Goods,1.94 oz
cayenne pepper,cayenne pepper,,1111000316.0,155.92225,/p/kroger-ground-red-cayenne-pepper/0001111000316?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.99,"Baking Goods, Baking Goods",5.5 oz
beef stew meat,beef stew meat,,29101750000.0,453.592,/p/kroger-choice-beef-cubed-beef-stew-meat/0029101750000?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,8.99,Meat & Seafood,1 lb
beef broth,beef broth,,1111008596.0,946.353,/p/kroger-fat-free-beef-broth/0001111008596?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.59,"Canned & Packaged, Canned & Packaged",32 oz
frozen pearl onions,frozen pearl onions,,1111086490.0,340.194,/p/kroger-recipe-beginnings-frozen-onions-pearl/0001111086490?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.19,Frozen,12 oz
potatoes,potatoes,,1111091754.0,4535.92,/p/kroger-russet-potatoes-big-deal-in-10-lb-bag/0001111091754?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.29,Produce,10 lb
jasmine rice,jasmine rice,,1111087415.0,4535.92,/p/kroger-thai-jasmine-rice/0001111087415?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,13.49,"Pasta, Sauces, Grain, International",10 lb
fresh ginger,fresh ginger,,4612.0,453.592,/p/ginger-root/0000000004612?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.69,Produce,1 lb
shittake mushrooms,shittake mushrooms,,1111022177.0,141.7475,/p/simple-truth-organic-sliced-shiitake-mushrooms/0001111022177?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.99,"Produce, Natural & Organic",5 oz
bone-in chicken pieces,bone-in chicken pieces,,28334750000.0,453.592,/p/heritage-farm-bone-in-skin-on-chicken-thighs/0028334750000?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.99,Meat & Seafood,1 lb
peanuts,peanuts,,1111061315.0,340.194,/p/kroger-salted-peanuts/0001111061315?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.99,Snacks,12 oz
Spanish chorizo,Spanish chorizo,,7300700171.0,226.796,/p/columbus-spanish-style-chorizo-salame-stick/0007300700171?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,9.49,"Meat & Seafood, Deli",8 oz
dry pinto beans,dry pinto beans,,1111080302.0,4535.92,/p/kroger-pinto-beans/0001111080302?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,10.49,"Pasta, Sauces, Grain",10 lb
bay leaves,bay leaves,,1111068442.0,3.68,/p/kroger-bay-leaves/0001111068442?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,Baking Goods,0.13 oz
reduced sodium chicken broth,reduced sodium chicken broth,,1111004970.0,946.353,/p/kroger-reduced-sodium-chicken-broth/0001111004970?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.59,"Canned & Packaged, Canned & Packaged, Canned & Packaged",32 oz
canned diced tomatoes,canned diced tomatoes,,1111081523.0,793.786,/p/kroger-diced-tomatoes-in-tomato-juice/0001111081523?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.89,Canned & Packaged,28 oz
lemon juice,lemon juice,,1111070207.0,946.24,/p/kroger-100-lemon-juice/0001111070207?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.69,Beverages,32 fl oz
Italian seasoning blend,Italian seasoning blend,,1111002386.0,22.6796,/p/simple-truth-organic-italian-seasoning-blend/0001111002386?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,"Natural & Organic, Baking Goods",0.8 oz
orzo pasta,orzo pasta,,7680851398.0,453.592,/p/barilla-orzo-pasta-quality-non-gmo-and-kosher-certified-pasta/0007680851398?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.99,"Pasta, Sauces, Grain",16 oz
kalamata olives,kalamata olives,,1111012950.0,170.097,/p/kroger-pitted-kalamata-olives-in-brine/0001111012950?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,"Deli, Canned & Packaged",6 oz
artichoke hearts,artichoke hearts,,1111090677.0,396.893,/p/kroger-artichoke-hearts-in-brine/0001111090677?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.89,Canned & Packaged,14 oz
Italian sausage,Italian sausage,,1111097272.0,453.592,/p/kroger-mild-italian-ground-sausage/0001111097272?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,"Meat & Seafood, Meat & Seafood, Natural & Organic",16 oz
canned cannellini beans,canned cannellini beans,,1111012142.0,439.41725,/p/kroger-cannellini-beans/0001111012142?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,0.89,Canned & Packaged,15.5 oz
spinach,spinach,,4090.0,340.0,/p/spinach/0000000004090?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.79,Produce,1 ct
fettuccine,fettuccine,,2680000639.0,453.592,/p/american-beauty-fettuccine-pasta/0002680000639?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.69,"Pasta, Sauces, Grain",16 oz
cauliflower,cauliflower,,4079.0,453.592,/p/cauliflower/0000000004079?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.49,Produce,1 lb
chicken bouillon,chicken bouillon,,1111083768.0,92.13,/p/kroger-chicken-bouillon-cubes/0001111083768?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,Canned & Packaged,3.25 oz
red wine,red wine,,8312000426.0,750.0,/p/bay-bridge-red-blend/0008312000426?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.88,"Adult Beverage, Adult Beverage, Adult Beverage, Adult Beverage, Adult Beverage, Adult Beverage, Adult Beverage",750 ml
diced tomatoes,diced tomatoes,,1111012670.0,1644.271,/p/kroger-diced-tomatoes/0001111012670?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.79,Canned & Packaged,4 pk / 14.5 oz
bay leaf,bay leaf,,1111068442.0,3.68,/p/kroger-bay-leaves/0001111068442?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,Baking Goods,0.13 oz
soy sauce,soy sauce,,1111009816.0,946.352,/p/kroger-soy-sauce/0001111009816?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,"International, Condiment & Sauces",32 fl oz
shredded beef,shredded beef,,7892933588.0,453.592,/p/lloyd-s-seasoned-and-shredded-beef-in-original-bbq-sauce/0007892933588?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.29,Meat & Seafood,16 oz
beer,beer,,2210000170.0,4258.56,/p/pabst-blue-ribbon-beer/0002210000170?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,12.99,Adult Beverage,12 cans / 12 fl oz
bouillon cube,bouillon cube,,1111083768.0,92.13587,/p/kroger-chicken-bouillon-cubes/0001111083768?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,Canned & Packaged,3.25 oz
