url,recipe_name,rating,number_of_ratings,prep_time,cook_time,instructions,serving_count,protein,fiber,calories,fat,carbohydrates,sodium
https://www.budgetbytes.com/almost-eggs-benedict/,Almost Eggs Benedict,4.79,14,10 minutes,25 minutes,"1. Separate the whites from the yolk of ONE egg. Add the yolk to a small sauce pot along with 1 Tbsp water and about 1/2 Tbsp lemon juice (I like my hollandaise quite lemony, if you don’t, start with 1 tsp lemon juice). Whisk them together until smooth. The pot is not over heat at this point.
2. Cut 4 Tbsp butter into 1/2 Tbsp chunks, then place them in the sauce pot with the egg, water, and lemon juice. Finally, place the pot over LOW heat and whisk continuously, allowing the butter to slowly melt into the yolk as you whisk. It should take 2-3 minutes for the butter to melt.
3. When the butter is fully melted, continue to whisk continuously and vigorously. As the mixture continues to heat, the yolk will begin to cook and solidify, which will thicken the sauce into a light, velvety mixture. It should take about 3-5 minutes for the mixture to cook to the point where it is thickened and will first look frothy, then finally begin to thicken. Once thickened, remove it from the heat. Taste the sauce and season with a pinch of salt and cayenne pepper. If you prefer more lemon, it can be whisked in at this point. Place a lid on the pot and set it near the burner that will be used for the eggs and ham, but not over direct heat, to keep it slightly warm.
4. Add about 1 tsp butter to a large skillet and place it over medium heat. Allow the butter to melt, then tilt the skillet to coat the surface. Open the English muffins and place them cut sides down in the skillet. Cook them until browned, then flip an cook a couple minutes more on the other side (about 5 minutes total). Place the buttery toasted muffins on your plates.
5. Wipe out the skillet to remove any cornmeal from the muffins, then add another teaspoon of butter. Once melted, add the ham slices to the skillet and cook until browned on both sides (another 3-5 minutes). If your ham slices are large like mine were, cut them in half to better fit the English muffins. Once browned, place the ham pieces on the toasted English muffins.
6. Turn the heat down to medium-low, add another teaspoon of butter to the skillet and cook two of the eggs until the whites are set, but the yolks are still runny. I find using a slightly lower heat helps give the whites time to heat through and cook before cooking the yolk. Top the muffins and ham with the eggs.
7. Finally, drizzle the prepared hollandaise sauce over the eggs and ham on the English muffins, and enjoy.",2,19.05,1.5,519.95,38.55,24.3,1067.2
https://www.budgetbytes.com/anne-byrns-1917-applesauce-cake/,Anne Byrn’s 1917 Applesauce Cake,4.74,30,15 minutes,35 minutes,"1. Allow the butter to come to room temperature. Preheat the oven to 350ºF. Coat the inside of an 8×8-inch baking dish with butter.
2. In a large bowl, cream together 2 Tbsp of butter and the sugar using a hand mixer or mixing by hand with a wooden spoon. Add the applesauce and stir to combine.
3. In a separate bowl, stir together the flour, baking soda, cinnamon, cloves, salt, and nutmeg until well combined.
4. Pour the flour mixture into the applesauce mixture and stir just until combined.
5. In a separate small bowl, toss the raisins with about 1 Tbsp flour until they are lightly coated. Fold the flour coated raisins into the cake batter. Spread the cake batter into the prepared baking dish.
6. Bake the cake for 30-35 minutes, or until the the center springs back when pressed. Let the cake cool for 15 minutes before slicing into 9 pieces.",9,3.13,2.17,262.73,3.86,54.61,240.04
https://www.budgetbytes.com/antipasto-salad/,Antipasto Salad,5,4,15 minutes,NA,"1. Combine the ingredients for the dressing in a bowl or jar (olive oil, red wine vinegar, lemon juice, Dijon, garlic powder, Italian seasoning, salt, pepper, sugar, grated Parmesan). Close the jar tightly and shake or whisk in a bowl until the ingredients are incorporated.
2. Cut or slice any meat or cheeses into bite-sized pieces. Drain the olives and any brined vegetables. Thinly slice the red onion and slice the grape tomatoes in half.
3. Lay your greens in the bottom of a bowl, then top with your antipasto items. Give the dressing one last whisk or shake, then drizzle over the salad (start with half the dressing and add more as needed). Toss the salad until everything is coated in dressing, then enjoy.",8,23,4,535,45,11,2130
https://www.budgetbytes.com/apple-cider-mimosas/,Apple Cider Mimosas,4.8,5,2 minutes,NA,"1. Make sure the cider and sparkling wine are chilled. Pour four ounces (½ cup) cider into a champagne flute, followed by 4 ounces (½ cup) sparkling wine. Top with a sprig of fresh rosemary or thyme as a garnish, then serve and enjoy.",1,0.1,0.3,145.2,0.2,17.5,5
https://www.budgetbytes.com/apple-dijon-kale-salad/,Apple Dijon Kale Salad,4.9,38,20 minutes,NA,"1. Rinse the kale well in a colander under cool running water. Allow the kale to drain as you prepare the rest of the salad.
2. In a blender combine the olive oil, apple cider vinegar, Dijon mustard, clove of garlic, salt, and pepper. Blend until the garlic is minced and the dressing is smooth.
3. Wash the apple and slice it into thin wedges, or dice it into cubes. Roughly chop the walnut halves. Make sure the kale is as dry as possible and then add it to a large bowl along with the apples, walnuts, and raisins. Starting with just half, drizzle the dressing over the salad and toss to coat. Add more dressing as desired (I used the whole batch).",4,5.45,4.83,344.48,28.65,20.7,238.15
https://www.budgetbytes.com/apple-nut-quinoa/,Apple Nut Quinoa,4.8,5,5 minutes,30 minutes,"1. Place the quinoa in a wire sieve and rinse thoroughly for 1-2 minutes with cool water. If you don’t have a wire mesh sieve, place the quinoa in a bowl, fill it with cool water and swish the quinoa around. Allow it to settle and then carefully pour out the water. Repeat 4-5 times. Rinsing quinoa well is essential to remove its natural coating, which can cause the quinoa to taste bitter.
2. Place the rinsed quinoa in a medium pot. Add the juice, salt, cinnamon, and cloves. Stir briefly. Place a lid on top and bring the pot up to a boil over high heat. As soon as it reaches a boil, turn the heat down to low and allow it to simmer for 15 minutes. After 15 minutes, turn the heat off and allow it to rest, without removing the lid, for ten minutes.
3. Meanwhile, chop the apple into small bite-sized pieces. Also roughly chop the walnuts.
4. After the quinoa has cooked and rested, remove the lid and fluff it with a fork. Add the apples and walnuts and stir them and then eat!",4,8.55,5.45,322.08,12.58,46.4,154.23
https://www.budgetbytes.com/apple-pie/,Apple Pie,4.28,11,1 hour,45 minutes,"1. Place a rack in the center of your oven, and top it with a pizza stone*. Preheat the oven to 375°F. Roll out your bottom and top pie crusts to 1/4 inch thickness. Refrigerate the top crust.
2. Line your pie pan with the rolled out bottom crust. Beat the egg white and brush the bottom crust lightly with it. Use a fork to puncture the bottom crust 9 to 10 times. Refrigerate the crust-lined pie pan.
3. Slice the 6 to 8 apples into 1/4 inch thick slices until you have 6 cups. Then place them in a colander and dress them with the lemon juice.
4. Place the colander in a large sauce pan. Mix the sugar, cinnamon, salt, flour, and nutmeg. Sprinkle the apples with the sugar mixture and incorporate thoroughly.
5. Allow the apples to marinate in the sugar and spices for a half hour. They will release their juices into the sauce pan.
6. After the apples have released their juices, remove the colander and the apples and place the pan with the juices over medium heat. Cook down the apple juices until a caramel forms.
7. Add the sliced apples to the pan and cook with the caramel until slightly softened, about five minutes. Let them cool for about 10 minutes.
8. Once the the apples have cooled, remove the pie pan and the top crust from the refrigerator. Add the apple slices to the crust-lined pie pan.
9. Cover the apples with the top crust. Fold the top crust under the edges of the bottom crust and pinch the crusts together. Flute the crusts. Beat the egg yolk and the cream together and brush the top crust with the egg wash.
10. Slice steam vents into the top crust.  Place the pie pan on top of your pizza stone and bake for 45 minutes, or until the top crust is golden brown and the pie's juices are bubbling.
11. Cool the apple pie for at  least 30 minutes before slicing, but preferably for an hour to allow the filling to solidify.",8,4,3,383,18,53,210
https://www.budgetbytes.com/apple-pie-scones/,Fresh Apple Pie Scones,5,11,15 minutes,20 minutes,"1. Preheat the oven to 400ºF. Wash the apple, cut it into quarters, then cut off the core from each piece. Use a box grater or large holed cheese grater to shred the apple.
2. In a medium bowl, whisk together the egg, apple sauce, lemon juice, sugar, and shredded apple.
3. In a separate large bowl, stir together the flour, salt, baking powder, cinnamon, and ginger. Once combined, add the butter and work it into the flour until it resembles coarse, damp sand.
4. Finally, pour the bowl containing the apple egg mixture into the large bowl with the flour and butter. Stir just until a dough forms and no more dry flour remains on the bottom of the bowl.
5. Turn the dough out onto a lightly floured surface and shape into a 6-8 inch wide, 1.5 inch thick disc (sprinkle more flour on your hands and on the surface of the dough if needed. The dough may be slightly sticky). Cut the disc into eight wedges.
6. Line a baking sheet with parchment paper and place the cut scones on top. Bake the scones for 18-20 minutes in the fully preheated oven, or until they are just slightly golden brown on top. Allow the scones to cool completely.
7. To make the glaze, stir together the powdered sugar, cinnamon, and water until a thick paste forms. Once the scones are fully cooled, drizzle the glaze over top.",8,4.19,1.76,239.08,8.16,37.73,304.68
https://www.budgetbytes.com/apple-spice-pork-chop-meal-prep/,Instant Pot Mashed Potatoes,5,4,10 minutes,30 minutes,"1. Peel and cube the potatoes (about 1-inch cubes). Place them in the Instant Pot along with the chicken broth and seasoning of your choice (see notes for what I used).
2. Close the Instant Pot lid, close the steam valve, and select the ""Steam"" option. The machine will auto-set to 10 minutes. Let the machine come up to pressure, cook for 10 minutes, then naturally release pressure.
3. Once the pressure has released, open the pot and mash the potatoes with a potato masher. Add the butter and stir or mash into the potatoes until melted. Taste and adjust the salt or seasoning as you see fit.",6,4.77,3.17,218.53,5.5,40,578.17
https://www.budgetbytes.com/apricot-dijon-pork-chops/,Apricot Dijon Pork Chops,5,9,5 minutes,20 minutes,"1. Prepare the sauce by whisking together the apricot preserves, dijon mustard, apple cider vinegar, garlic powder, and water. Set the sauce aside.
2. Heat a large skillet with 2 Tbsp of olive oil over medium high heat. While the skillet is heating, remove the pork chops from their package and sprinkle salt and pepper on both sides.
3. Once the skillet is very hot but not smoking (the oil should look wavy on the surface), add the chops to the skillet. Over crowding the skillet will cause the heat to drop and prevent searing so cook the chops in batches of two. Cook on each side until browned (about 5 minutes each side). NOTE: The chops will stick to the pan initially, but they will naturally be released from the surface when a “sear” has been achieved. If the chop is still sticking to the pan that means it is not ready to flip yet.
4. When the chops finish searing, remove them to a clean plate and cover with foil to keep warm. Once all of the chops have cooked, reduce the heat to medium-low and pour the apricot sauce into the skillet. Using a whisk, stir and cook the sauce for 1-2 minutes. The whisk will help the pan drippings release from the bottom of the pan and flavor the sauce. This is called “deglazing.”
5. Either serve the pork chops with the sauce spooned over top or add the chops back to the warm skillet to coat with sauce. I spooned the sauce over top for presentation’s sake but in the future I’ll probably add them to the pan to completely coat with the yummy sauce!",4,25,0.43,337.7,14.93,26.4,301.88
https://www.budgetbytes.com/arroz-con-salchichas-puerto-rican-rice-with-sausage/,Arroz Con Salchichas,4.1,11,5 minutes,30 minutes,"1. Add the cooking oil to a large heavy-bottomed pot set over medium-high heat. Add the adobo and sazón and cook until fragrant, about 30 seconds. Add the diced yellow onion and cook until translucent, about 2 minutes. Add the minced garlic and cook until fragrant, about 30 seconds.
2. Add the sofrito, tomato sauce, green olives, and capers to the pot, and cook until fragrant, about 2 minutes. In the meantime, slice the Vienna sausages into 1/2-inch-thick rounds and rinse the rice until the water runs clear, making sure to drain off all excess water after rinsing.
3. Add the sliced Vienna sausages to the pot and sauté until browned.
4. Finally, add the rinsed rice and boiling chicken broth to the pot. Stir and bring to a hard boil, with large bubbles breaking through the surface of the rice. Stir once more, turn the heat to low, and cover the pot.
5. Simmer the rice over low until the rice is tender, about 15 minutes. Take the pot off the heat, but leave it covered. Let it rest, covered, for 10 minutes. Uncover, stir the rice, taste, and adjust the seasoning to your liking. Stir in cilantro leaves then serve yourself a big bowl full and prepare to chow!",6,11,2,376,13,54,940
https://www.budgetbytes.com/arroz-verde-green-rice/,Arroz Verde (Green Rice),5,2,10 minutes,35 minutes,"1. Add the Swiss chard, spinach, parsley, cilantro, olive oil, and roughly chopped garlic to a food processor. Process on high until mixture reaches a paste-like consistency.
2. Place a medium size pot over medium-high heat. Once hot, transfer the green vegetable mixture to the pot and sauté until fragrant, 2-3 minutes.
3. Add the rice to the pot and mix to combine coating the rice with the green mixture.
4. Add boiling water and salt to taste to the pot and let the mixture come to a boil. Once boiling, reduce the heat to a simmer and cover with a tight lid. Cook for 20 min or until the rice is tender.
5. Once done remove the pot from the heat and using a fork fluff the rice. Add the cooked green peas and scallions and combine. Serve and enjoy!",6,6,2,404,19,53,38
https://www.budgetbytes.com/autumn-fruit-and-nut-oatmeal/,Autumn Fruit and Nut Oatmeal,4.89,9,5 minutes,10 minutes,"1. Chop the apple into ½-inch pieces. Add about ¾ of the apple pieces to a small saucepot with the butter, cinnamon, and cloves. Sauté over medium heat for a few minutes, or just until the apples begin to soften.
2. Add the water to the pot. Place a lid on top, turn the heat up to medium-high, and allow the water to come up to a boil.
3. Once the water reaches a boil, stir in the oats, dried cranberries, and salt. Turn the heat down to medium-low and continue to simmer the oats for about 5 minutes, or until thickened.
4. When the oats have thickened, stir in the chopped walnuts and maple syrup. Taste and adjust the sweetness to your liking. Top with the remaining chopped apples. Serve hot.",2,8,9,417,15,69,182
https://www.budgetbytes.com/autumn-kale-and-sweet-potato-salad/,Autumn Kale and Sweet Potato Salad,4.96,23,20 minutes,30 minutes,"1. Preheat the oven to 400ºF. Peel and dice the sweet potatoes into 1/2-inch pieces. Place the sweet potatoes on a parchment lined baking sheet and add the cooking oil, cinnamon, cumin, smoked paprika, and salt. Toss the sweet potatoes until they are coated in oil and spices.
2. Roast the sweet potatoes for about 30 minutes, or until they are tender and browned on the edges, stirring once half way through.
3. While the sweet potatoes are roasting, prepare the rest of the salad. Start with the dressing. Add the tahini, water, lemon juice, maple syrup, garlic powder, cayenne pepper, and salt to a blender or bowl. Blend or whisk together until the ingredients are emulsified and smooth. Set the dressing aside.
4. Pull the kale leaves from the tough woody stems and rinse them well in a colander with cool water. Drain the kale well, then slice it into thin strips (they don't have to be perfect, so don't stress about this, just aim for smaller pieces). Divide the sliced kale between four bowls or containers.
5. Cut the apple into quarters and remove the core. Cut each quarter into thin slices. Add the apple slices to each container.
6. Add 1 Tbsp each of the pepitas, chopped pecans, and dried cranberries to each container. When the sweet potatoes are finished roasting, let them cool for about 5 minutes, then divide them between the containers. Divide the dressing between four small containers. Enjoy the salad immediately or refrigerate up to five days.",4,13,10,512,20,79,462
https://www.budgetbytes.com/autumn-quinoa-salad/,Autumn Quinoa Salad with Lemon Turmeric Dressing,4.89,9,15 minutes,15 minutes,"1. Rinse the quinoa well in a fine wire mesh sieve. Add the quinoa, 1/8 tsp salt, and 3/4 cup water to a small sauce pot. Place a lid on top and bring it up to a boil over high heat. Once boiling, turn the heat down to low and let it simmer for 15 minutes. After 15 minutes the quinoa should be tender. Spread the quinoa out over a tray or baking dish, then place it in the refrigerator to cool for about 10 minutes.
2. While the quinoa is cooking, prepare the lemon turmeric dressing. In a bowl or jar, combine the almond butter, hot water (start with 2 Tbsp), lemon juice, ground ginger, ground turmeric, sugar, salt, and pepper (about 5 cranks of a pepper mill). Stir very well until the almond butter fully combines with the liquid and the mixture is smooth. Add more water, if needed, to make the dressing smooth and pourable (I used 3 Tbsp total). Place the dressing in the refrigerator until ready to use.
3. Thinly slice the Granny Smith apple.
4. To build the salads, place 2 cups of baby greens in each large bowl. Add half of the apples slices to each, then spoon about 1/2 cup cooked and cooled quinoa over top. Sprinkle one tablespoon each of dried cranberries and sliced almonds on each salad. Finally, drizzle the lemon turmeric dressing on top, and serve.",2,13,9,431,17,63,317
https://www.budgetbytes.com/avocado-breakfast-pita/,Avocado Breakfast Pita,5,4,5 minutes,5 minutes,"1. Cook the egg in a skillet over medium heat. Season with salt and pepper. Just before removing from the pan, add sriracha or your favorite hot sauce.
2. While the egg is cooking, slice the avocado. Place the avocado slices inside the pita and smoosh them over the surface of one side of the pita with the back of a spoon or a knife.
3. Stuff the spinach and egg into the pita as well. Either serve as is or cook the pita in the skillet on both sides to make it crispy.",1,13.4,5.5,324.8,13.3,38.8,1366.1
https://www.budgetbytes.com/bacon-bean-potato-soup/,Bacon Bean and Potato Soup,4.22,19,1 day,1 hour,"1. The night before, place the beans in a large bowl and add enough cool water to cover the beans by 2-3 inches. Let the beans soak in the refrigerator over night.
2. The next day, cut the bacon into one-inch pieces. Cook the bacon in a large pot over medium heat until brown and crispy. Remove the bacon to a paper towel lined plate and pour off most of the grease, leaving a tablespoon or two in the pot.
3. While the bacon is cooking, dice the onion and mince the garlic. Peel and slice the carrots, and slice the celery. Sauté the onion, garlic, carrots, and celery in the leftover bacon grease over medium heat until the onions are soft and transparent (about five minutes). Use the moisture from the vegetables to help dissolve the browned bits of bacon from the bottom of the pot.
4. While the vegetables are sautéing, peel the potatoes then cut them into 1/2-inch cubes. Drain the soaked beans in a colander and rinse them briefly.
5. Add the cubed potatoes, rinsed beans, and chicken broth to the pot. Cover the pot and bring it up to a boil. Reduce the heat slightly and let the pot boil gently for one hour, or until the beans and potatoes are very soft.
6. Use an immersion blender to purée about half of the soup, leaving some beans and vegetables whole. If you don’t have an immersion blender, remove half of the soup from the pot, let it cool slightly, then use a blender or food processor to carefully purée the warm soup. Return the puréed soup to the pot and stir to combine with the rest.
7. Add the tomato sauce and reserved bacon to the soup. Stir and heat until warm. Taste the soup and add salt and pepper if needed. Serve hot.",10,18.43,9.51,398.5,13.73,52.55,1119.12
https://www.budgetbytes.com/bacon-caramelized-pineapple-pizza/,Bacon Pizza with Caramelized Pineapple,5,7,10 minutes,25 minutes,"1. Slice the bacon into one-inch pieces. Cook in a large skillet over medium heat until crisp and brown on the edges, but still slightly soft in the center (about 5 minutes). The bacon will finish cooking on the pizza. Transfer the bacon to a paper towel lined plate and pour off most of the bacon grease from the skillet.
2. Drain the canned pineapple well. Cut the chunks in half to make smaller pieces. Add the pineapple chunks to the skillet along with the brown sugar. Sauté over medium heat until the pineapple gets brown and sticky on the edges (about 5 minutes). Remove from the heat.
3. Preheat the oven to 450ºF. Stretch the pizza dough to fit a 14 inch pizza pan. Spread the sauce over the surface of the dough. Sprinkle the shredded Monterrey Jack cheese over the sauce. Finally, top the pizza with the cooked bacon and caramelized pineapple pieces.
4. Bake the pizza for about 15 minutes, or until the crust is golden brown and the cheese is bubbly on top. After removing the pizza from the oven, top with sliced green onions, cut into eight pieces, then serve.",8,10.39,1.56,263.76,10.6,32.86,513.41
